plant_name,disease_name,disease_type,symptoms,causes,prevention,treatment,affected_parts,severity
Dieffenbachia,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Dieffenbachia,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Dieffenbachia,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Rubber Plant,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
Rubber Plant,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
Rubber Plant,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Rubber Plant,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Rubber Plant,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Bamboo Palm,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
Bamboo Palm,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
Bamboo Palm,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Bamboo Palm,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Bamboo Palm,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Jasmine,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Jasmine,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Jasmine,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Jasmine,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Jasmine,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Sunflower,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Sunflower,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Sunflower,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Sunflower,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Sunflower,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Orchid,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Orchid,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Orchid,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Orchid,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Orchid,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Marigold,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Marigold,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Marigold,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Marigold,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Marigold,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Hydrangea,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Hydrangea,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Hydrangea,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Hydrangea,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Hydrangea,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Neem,Leaf Spot Disease,Fungal,"Brown to black spots scattered across leaves, sometimes merging and causing early leaf drop.",Fungal pathogens spread by rain splash during humid weather.,"Prune for good airflow, avoid overhead watering, clear fallen infected leaves.",Apply a copper-based fungicide; remove and destroy heavily infected leaves.,Leaves,Moderate
Neem,Powdery Mildew,Fungal,"White powdery coating on leaves and young shoots, causing distorted growth.",Humid conditions with poor air circulation around the canopy.,"Space plants adequately, avoid excess nitrogen fertilizer, prune to open the canopy.",Spray sulfur-based fungicide or neem oil at first sign of infection.,"Leaves, young shoots",Low to Moderate
Neem,Root/Collar Rot,Fungal,"Wilting, yellowing foliage and decayed, discoloured bark at the base of the trunk.",Waterlogging around the root collar allowing Phytophthora fungus to establish.,"Ensure well-drained planting site, avoid piling mulch/soil against the trunk, avoid overwatering.","Improve site drainage, expose and dry out the collar, apply a systemic fungicide drench.","Roots, root collar/base",High
Neem,Termite / Borer Infestation,Pest,Small holes in the trunk or branches with sawdust-like frass; branch dieback.,Wood-boring insects or termites attacking stressed or wounded wood.,"Keep trees healthy and well-watered, remove dead wood promptly, avoid trunk injuries.",Apply an appropriate insecticide to affected areas; prune and destroy severely infested branches.,"Trunk, branches",Moderate to High
Neem,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and twigs, reducing photosynthesis.",Growth on honeydew secreted by sap-sucking pests such as aphids or scale insects.,Control the underlying insect pest population early with regular inspection.,Wash affected foliage with a mild soap spray; treat the insect infestation with neem oil.,"Leaves, twigs",Low
Curry Leaves,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Curry Leaves,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Curry Leaves,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Curry Leaves,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Curry Leaves,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Mint,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Mint,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Mint,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Mint,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Mint,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Thyme,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Thyme,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Thyme,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Thyme,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Thyme,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Ferocactus,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Ferocactus,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Ferocactus,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Ferocactus,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Ferocactus,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Rosette Blossom,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Rosette Blossom,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Rosette Blossom,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Rosette Blossom,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Rosette Blossom,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Velvet Petunia,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Velvet Petunia,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Velvet Petunia,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Velvet Petunia,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Velvet Petunia,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Haworthia,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Haworthia,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Haworthia,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Haworthia,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Haworthia,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Euphorbia Cactus,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Euphorbia Cactus,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Euphorbia Cactus,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Euphorbia Cactus,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Euphorbia Cactus,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
English Ivy,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
English Ivy,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
